Item,Semana 1,Semana 2,Semana 3,Semana 4
Arroz,3.99,4.79,2.99,4.35
Feijão,6.39,6.39,4.69,6.99
Carne,42.9,37.9,42.89,42.99
Leite,3.99,5.29,4.05,5.2
Farinha,4.59,4.79,4.59,4.89
Açúcar,4.49,4.89,4.49,4.89
Oleo,8.99,8.25,7.99,9.25
Pão,8.99,4.99,8.99,7.99
Café,15.39,16.49,14.99,15.89
Ovo,18.0,13.99,17.99,19.9
Frango,19.9,18.99,18.99,21.99
Bolacha,3.99,4.39,3.99,5.25
Vitamilho,1.39,1.89,1.29,2.39
Banana,4.0,3.99,4.0,5.09
Maça,8.0,9.7,11.25,0.0
Tomate,4.59,3.99,4.29,5.29
Cebola,3.89,3.85,3.79,4.99
